Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19
2853,92,3,5966,2998,2737,261,2816,2933,2933,2779,15481,2382,422,430,6156,1841,1841,4245
2821,27,1,4957,2909,2743,166,2837,2799,2886,2761,8846,1183,393,299,3092,1473,2427,1907
2832,69,3,5632,2954,2732,222,2771,2791,2904,2760,8650,814,467,138,2366,1757,2354,2160
2818,22,1,5340,2909,2738,171,2867,2767,2887,2754,7946,915,411,217,2496,1407,2285,1687
2841,75,3,5598,2965,2740,225,2807,2802,2915,2771,6909,684,477,126,1901,1488,1779,1753
2829,65,3,5382,2945,2734,211,2899,2789,2899,2761,8908,907,450,157,2515,1747,2515,2179
2812,63,2,5587,2931,2717,214,2856,2800,2885,2743,9103,1078,443,216,2862,1679,2322,2280
2860,87,3,5536,2987,2747,240,2850,2930,2933,2791,8027,878,466,174,2358,1599,1615,2080
2831,69,3,5585,2953,2732,221,2903,2791,2903,2760,8716,858,453,147,2428,1740,2428,2170
2829,69,3,5380,2946,2731,215,2771,2855,2899,2761,9823,1000,621,127,2818,2186,2407,2686
